DR. MELTEM YILDIRIM EKİCİ,HESAPLAMA TEORİSİ,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_4078.html
DR.ÖĞR.ÜYESİ YUNUS DOĞAN,İŞLETİM SİSTEMLERİ,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_4066.html
DR.ÖĞR.ÜYESİ ERCAN AVŞAR,BİLGİSAYAR MÜHENDİSLİĞİ İÇİN SİNYALLER VE SİSTEMLER,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_4079.html
DOÇ.DR. FEVZİ ÇAKMAK,Atatürk İlkeleri ve İnkılap Tarihi II,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_131_1210_3.html
DR.ÖĞR.ÜYESİ YUNUS DOĞAN,PROGRAMLAMA DİLLERİ KAVRAMLARI,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_4061.html
PROF.DR. YALÇIN ÇEBİ,VERİ İLETİŞİMİ VE BİLGİSAYAR AĞLARI,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_4080.html
DR.ÖĞR.ÜYESİ KÖKTEN ULAŞ BİRANT,YAZILIM MÜHENDİSLİĞİ,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_4065.html
DOÇ.DR. MEHMET HİLAL ÖZCANHAN,GÖMÜLÜ SİSTEMLERİN PRENSİPLERİ,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_4067.html
DOÇ.DR. GÜLSEREN KARABAY,MÜHENDİSLER İÇİN FİNANSAL YÖNETİM,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_117_1210_177.html
DR.ÖĞR.ÜYESİ FERİŞTAH DALKILIÇ,BİLGİSAYAR MÜHENDİSLİĞİ TASARIM,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_4097.html
DR.ÖĞR.ÜYESİ ÖZLEM AKTAŞ,YAZ STAJI  I,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_4098.html
DOÇ.DR. MUHARREM KEMAL ÖZFIRAT,İŞ SAĞLIĞI VE GÜVENLİĞİ I,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_117_1210_168.html
DOÇ.DR. ZERRİN IŞIK,MAKİNA ÖĞRENMESİNE GİRİŞ,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_2510.html
,PARALEL PROGRAMLAMA,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_2502.html
TANZER ONURGİL,BİLGİSAYAR OYUNU TASARIM VE PROGRAMLAMA,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_2505.html
DOÇ.DR. SEMİH UTKU,BİLGİSAYAR GRAFİKLERİ,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_2475.html
DR.ÖĞR.ÜYESİ KÖKTEN ULAŞ BİRANT,YAZILIM PROJE YÖNETİMİ,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_2495.html
,VERİTABANI KONULARI,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_2506.html
DOÇ.DR. SEMİH UTKU,DAĞITIK VERİTABANI SİSTEMLERİ,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_2477.html
PROF.DR. RECEP ALP KUT,BENZETİM VE MODELLEME,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_2511.html
DR. MELTEM YILDIRIM EKİCİ,İNSAN BİLGİSAYAR ETKİLEŞİMİ,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_2469.html
,SİSTEM PROGRAMLAMA,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_2512.html
